property,latitude,longitude,city,country,monthly_rate,lease_term_months,total_views
Sample Property 424,43.650618,-79.35957,Toronto,Canada,1100,12,5570
Sample Property 425,43.707844,-79.393882,Toronto,Canada,1345,12,10637
Sample Property 426,43.721269,-79.511416,Toronto,Canada,1345,12,14677
Sample Property 428,43.641403,-79.432193,Toronto,Canada,1345,12,14177
Sample Property 429,43.671519,-79.380388,Toronto,Canada,1345,12,9327
Sample Property 430,43.671135,-79.390842,Toronto,Canada,1345,12,8090
Sample Property 431,43.650076,-79.390668,Toronto,Canada,1345,12,13831
Sample Property 432,43.721021,-79.512607,Toronto,Canada,1345,12,5122
Sample Property 434,43.650192,-79.385192,Toronto,Canada,1345,12,8035
Sample Property 435,43.650425,-79.384269,Toronto,Canada,1345,12,6718
Sample Property 436,43.666045,-79.40605,Toronto,Canada,1345,12,9490
Sample Property 437,43.669495,-79.389214,Toronto,Canada,1345,12,8732
Sample Property 438,43.650022,-79.385771,Toronto,Canada,1345,12,12554
Sample Property 439,43.649618,-79.385599,Toronto,Canada,1345,12,6415
Sample Property 440,43.648935,-79.390535,Toronto,Canada,1345,12,10022
Sample Property 441,43.655346,-79.413736,Toronto,Canada,1345,12,7336
Sample Property 442,43.650261,-79.390051,Toronto,Canada,1345,12,7377
Sample Property 443,43.666511,-79.405793,Toronto,Canada,1345,12,8206
Sample Property 444,43.665145,-79.409741,Toronto,Canada,1345,12,6915
Sample Property 445,43.664989,-79.410771,Toronto,Canada,1345,12,12184
Sample Property 446,43.670543,-79.385264,Toronto,Canada,1345,12,14115
Sample Property 447,43.667548,-79.403087,Toronto,Canada,1345,12,8600
Sample Property 448,43.677916,-79.344272,Toronto,Canada,1345,12,10964
Sample Property 450,36.111949,-115.171954,Las Vegas,United States,1345,12,9241
Sample Property 451,36.111585,-115.171954,Las Vegas,United States,1345,12,7293
Sample Property 452,43.646637,-79.377746,Toronto,Canada,1345,12,14656
Sample Property 453,43.847614,-79.458793,Vaughan,Canada,1345,12,9472
Sample Property 454,43.735974,-79.420268,Toronto,Canada,1345,12,6569
Sample Property 455,43.769069,-79.38548,Toronto,Canada,1345,12,12725
Sample Property 456,43.667988,-79.388974,Toronto,Canada,1345,12,7856
Sample Property 457,43.645753,-79.39366,Toronto,Canada,1345,12,11750
Sample Property 458,43.705494,-79.361523,East York,Canada,1345,12,10149
Sample Property 459,43.776086,-79.343942,North York,Canada,1345,12,6733
Sample Property 460,43.639499,-79.380861,Toronto,Canada,1345,12,11684
Sample Property 461,43.639499,-79.380861,Toronto,Canada,1345,12,11969
Sample Property 463,43.64446,-79.399336,Toronto,Canada,1345,12,10314
Sample Property 464,43.645114,-79.383415,Toronto,Canada,1345,12,6133
Sample Property 465,43.670479,-79.389932,Toronto,Canada,1345,12,9549
Sample Property 466,43.643393,-79.366195,Toronto,Canada,1345,12,12648
Sample Property 467,43.642848,-79.407321,Toronto,Canada,1345,12,8474
Sample Property 468,43.638439,-79.41743,Toronto,Canada,1345,12,8664
Sample Property 469,38.580085,-121.501013,Sacramento,USA,1200,12,8898
Sample Property 472,43.668881,-79.392506,Toronto,Canada,1200,12,14117
Sample Property 473,43.670217,-79.413194,Toronto,Canada,1200,12,11807
Sample Property 474,43.675068,-79.400109,Toronto,Canada,1200,12,12408
Sample Property 475,43.646911,-79.374341,Toronto,Canada,1200,12,14579
Sample Property 476,43.648209,-79.389218,Toronto,Canada,1200,12,10913
Sample Property 477,43.680934,-79.429741,Toronto,Canada,1200,12,10227
Sample Property 478,43.644033,-79.390185,Toronto,Canada,1200,12,13922
Sample Property 479,43.666708,-79.381469,Toronto,Canada,1200,12,11101
Sample Property 480,43.648594,-79.373335,Toronto,Canada,1200,12,10739
Sample Property 481,43.648503,-79.373271,Toronto,Canada,1200,12,9583
Sample Property 482,43.648261,-79.373555,Toronto,Canada,1200,12,11218
Sample Property 483,43.654994,-79.416032,Toronto,Canada,1200,12,12357
Sample Property 484,43.643393,-79.366195,Toronto,Canada,1200,12,8322
Sample Property 485,43.643393,-79.366195,Toronto,Canada,1200,12,8442
Sample Property 486,43.655361,-79.418848,Toronto,Canada,1200,12,7889
Sample Property 487,43.675006,-79.393085,Toronto,Canada,1200,12,7956
Sample Property 500,43.64657,-79.407589,Toronto,Canada,1200,12,8246
Sample Property 601,22.324989,114.180565,Hong Kong,China,1200,12,13282
Sample Property 602,-27.533837,153.202442,Capalaba,Australia,1200,12,13225
Sample Property 603,43.508042,-80.527595,Waterloo,Canada,1200,12,6476
Sample Property 604,43.508042,-80.527595,Waterloo,Canada,1200,12,10856
Sample Property 605,43.508042,-80.527595,Waterloo,Canada,1200,12,9507
Sample Property 606,52.130781,5.037116,Maarssenbroek,Netherlands,1200,12,8289
Sample Property 607,50.06414,5.6249,Bertogne,Belgium,1200,12,11477
Sample Property 999,43.64325,-79.42214,Toronto,Canada,1200,12,6250
Sample Property 1001,43.694443,-79.747743,Brampton,Canada,1200,12,8606
Sample Property 1002,43.657295,-79.404249,Toronto,Canada,1200,12,14809
Sample Property 1003,43.606958,79.585402,Mississauga,Canada,1200,12,12988
Sample Property 1004,43.690369,-79.624036,Mississauga,Canada,1200,12,11993
Sample Property 1005,43.648921,-79.395544,Toronto,Canada,1200,12,9696
Sample Property 1006,43.653929,-79.380213,Toronto,Canada,1200,12,5911
Sample Property 1007,43.612732,-79.555835,Etobicoke,Canada,1200,12,14116
Sample Property 1008,43.593106,-79.642247,Mississauga,Canada,1200,12,13179
Sample Property 1009,43.825703,-79.538917,Vaughan,Canada,1200,12,12237
Sample Property 1010,43.665992,-79.437824,Toronto,Canada,1200,12,7231
Sample Property 1011,53.538348,-113.615916,Edmonton,Canada,1200,12,9684
Sample Property 1012,43.642845,-79.401671,Toronto,Canada,1200,12,8305
Sample Property 1023,43.656885,-79.383904,Toronto,Canada,1200,12,12149
Sample Property 1024,45.566973,-73.688307,Montreal,Canada,1200,12,12563
Sample Property 1025,43.587571,-79.645281,Mississauga,Canada,1200,12,7453
Sample Property 1026,43.024356,-81.278159,London,Canada,1200,12,10256
Sample Property 1027,43.758395,-79.313897,Toronto,Canada,1200,12,8766
Sample Property 1028,45.509432,-73.573566,Montreal,Canada,1200,12,10279
Sample Property 1029,43.666761,-79.403346,Toronto,Canada,1200,12,12422
Sample Property 1030,44.643482,-63.575693,Halifax,Canada,1200,12,8873
Sample Property 1031,43.653226,-79.383184,Toronto,Canada,1200,12,9277
Sample Property 1032,43.704869,-79.388782,Toronto,Canada,1200,12,10138
Sample Property 1033,43.668647,-79.394462,Toronto,Canada,1200,12,10819
Sample Property 1034,55.151004,-118.819552,Grande Prairie,Canada,1200,12,9137
Sample Property 1035,45.372339,-75.769649,Ottawa,Canada,1200,12,10930
Sample Property 1036,51.066852,-114.09263,Calgary,Canada,1200,12,11631
Sample Property 1037,43.873699,-79.260617,Markham,Canada,1200,12,11684
Sample Property 1038,43.805751,-79.384257,Toronto,Canada,1200,12,8563
Sample Property 1039,51.045711,-114.074156,Calgary,Canada,1200,12,14352
Sample Property 1040,53.518125,-113.504196,Edmonton,Canada,1200,12,9738
Sample Property 1041,46.124041,-64.854912,Moncton,Canada,1200,12,5265
Sample Property 1042,42.312199,-82.867674,St. Clair Beach,Canada,1200,12,14420
Sample Property 1043,45.962026,-66.64393,Fredericton,Canada,1200,12,10645
Sample Property 1044,44.648228,-63.620446,Halifax,Canada,1200,12,7626
Sample Property 1045,53.544389,-113.490927,Edmonton,Canada,1200,12,13437
Sample Property 1046,44.009795,-79.444874,Aurora,Canada,1200,12,6394
Sample Property 1047,43.688372,-79.393497,Toronto,Canada,1200,12,12116
Sample Property 1048,46.097399,-64.758084,Dieppe,Canada,1200,12,11765
Sample Property 1049,46.091477,-64.692677,Dieppe,Canada,1200,12,13679
Sample Property 1050,53.910431,-122.760715,Prince George,Canada,1200,12,8113
Sample Property 1051,44.699249,-63.564757,Dartmouth,Canada,1200,12,12522
Sample Property 1052,45.495612,-73.620988,Montreal,Canada,1200,12,6373
Sample Property 1053,44.671449,-63.524856,Dartmouth,Canada,1200,12,7269
Sample Property 1054,44.647273,-63.675165,Halifax,Canada,1200,12,11798
Sample Property 1055,43.719318,-79.429862,Toronto,Canada,1200,12,14243
Sample Property 1056,47.614548,-52.722359,St. Johns,Canada,1200,12,11735
Sample Property 1057,43.706894,-79.781714,Brampton,Canada,1200,12,9369
Sample Property 1058,49.882676,-119.452146,Kelowna,Canada,1200,12,5774
Sample Property 1059,51.044459,-114.070884,Calgary,Canada,1200,12,14560
Sample Property 1060,43.715182,-79.723874,Brampton,Canada,1200,12,6769
Sample Property 1061,53.599785,-113.442834,Edmonton,Canada,1200,12,10048
Sample Property 1062,45.47624,-73.622224,Montreal,Canada,1200,12,11374
Sample Property 1063,43.774229,-79.498422,Toronto,Canada,1200,12,7003
Sample Property 1064,53.518124,-113.479728,Edmonton,Canada,1200,12,14153
Sample Property 1065,43.643909,-79.403182,Toronto,Canada,1200,12,9476
Sample Property 1066,45.506857,-73.337771,Quebec,Canada,1200,12,7482
Sample Property 1067,43.666642,-79.403819,Toronto,Canada,1200,12,11141
Sample Property 1068,43.707232,-79.397072,Toronto,Canada,1200,12,9680
Sample Property 1069,45.424866,-75.684295,Ottawa,Canada,1200,12,9241
Sample Property 1070,43.648019,-79.378883,Toronto,Canada,1200,12,12562
Sample Property 1071,43.807027,-79.449505,Thornhill,Canada,1200,12,13870
Sample Property 1072,43.918214,-78.946461,Whitby,Canada,1200,12,14977
Sample Property 1073,43.665514,-79.40929,Toronto,Canada,1200,12,12184
Sample Property 1074,47.558796,-52.753485,St. Johns,Canada,1200,12,6752
Sample Property 1075,49.261226,-123.113927,Vancouver,Canada,1200,12,5791
Sample Property 1076,43.763101,-79.411005,Toronto,Canada,1200,12,10439
Sample Property 1077,46.769396,-71.284291,Quebec,Canada,1200,12,6071
Sample Property 1078,45.504193,-75.681385,Gatineau,Canada,1200,12,8709
Sample Property 1079,45.568917,-73.752437,Laval,Canada,1200,12,7442
Sample Property 1080,45.462906,-73.830675,Montreal,Canada,1200,12,10896
Sample Property 1081,53.52312,-113.51204,Edmonton,Canada,1200,12,9050
Sample Property 1082,43.822609,-79.533337,Vaughan,Canada,1200,12,8492
Sample Property 1083,46.763572,-71.316153,Quebec,Canada,1200,12,6840
Sample Property 1084,43.88284,-79.440281,Richmond Hill,Canada,1200,12,7131
Sample Property 1085,45.42066,-75.695345,Ottawa,Canada,1200,12,8802
Sample Property 1086,51.046473,-114.057859,Calgary,Canada,1200,12,8380
Sample Property 1087,53.627985,-113.491384,Edmonton,Canada,1200,12,7605
Sample Property 1088,53.599632,-113.531655,Edmonton,Canada,1200,12,6379
Sample Property 1089,45.419427,-75.699658,Ottawa,Canada,1200,12,5626
Sample Property 1090,53.546265,-113.524161,Edmonton,Canada,1200,12,9540
Sample Property 1091,43.425481,-80.438326,Kitchener,Canada,1200,12,7155
Sample Property 1092,49.891393,-97.146725,Winnipeg,Canada,1200,12,5511
Sample Property 1093,45.504273,-73.57223,Montreal,Canada,1200,12,7180
Sample Property 1094,53.468442,-113.583303,Edmonton,Canada,1200,12,10217
Sample Property 1095,43.648684,-79.380233,Toronto,Canada,1200,12,5752
Sample Property 1096,43.668978,-79.290213,Toronto,Canada,1200,12,5125
Sample Property 1097,47.560777,-52.710744,St. Johns,Canada,1200,12,14065
Sample Property 1098,51.075867,-113.990751,Calgary,Canada,1200,12,8490
Sample Property 1099,45.500894,-73.561609,Montreal,Canada,1200,12,9530
Sample Property 1100,45.425516,-75.719723,Gatineau,Canada,1200,12,12252
Sample Property 1101,46.795222,-71.25329,Quebec,Canada,1200,12,5169
Sample Property 1102,43.691331,-79.801916,Brampton,Canada,1200,12,9958
Sample Property 1103,50.495812,-104.660567,Regina,Canada,1200,12,9159
Sample Property 1104,50.450629,-104.610757,Regina,Canada,1200,12,11005
Sample Property 1105,45.386957,-75.735381,Ottawa,Canada,1200,12,9849
Sample Property 1106,45.48359,-73.860483,Montreal,Canada,1200,12,13872
Sample Property 1107,50.966122,-114.071755,Calgary,Canada,1200,12,10668
Sample Property 1108,45.478249,-75.516715,Ottawa,Canada,1200,12,10060
Sample Property 1109,45.499918,-73.566459,Montreal,Canada,1200,12,11908
Sample Property 1110,45.496689,-73.617707,Montreal,Canada,1200,12,6578
Sample Property 1111,45.494822,-73.577875,Montreal,Canada,1200,12,6822
Sample Property 1112,45.600528,-73.568552,Anjou,Canada,1200,12,6490
Sample Property 1113,45.514567,-73.561972,Montreal,Canada,1200,12,12361
Sample Property 1114,43.644916,-79.522276,Toronto,Canada,1200,12,5005
Sample Property 1115,45.336747,-75.70584,Ottawa,Canada,1200,12,10740
Sample Property 1116,43.228531,-79.941365,Ancaster,Canada,1200,12,9785
Sample Property 1117,43.662288,-79.383152,Toronto,Canada,1200,12,12165
Sample Property 1118,43.677341,-79.352823,Toronto,Canada,1200,12,14463
Sample Property 1119,43.892501,-79.29149,Markham,Canada,1200,12,7003
Sample Property 1120,43.728758,-79.402995,Toronto,Canada,1200,12,8772
Sample Property 1121,43.697734,-79.396348,Toronto,Canada,1200,12,6642
Sample Property 1122,53.681558,-113.240405,Fort Saskatchewan,Canada,1200,12,5416
Sample Property 1123,45.361797,-75.73918,Nepean,Canada,1200,12,14213
Sample Property 1124,43.71458,-79.400032,Toronto,Canada,1200,12,13908
Sample Property 1125,45.194949,-75.395613,Ottawa,Canada,1200,12,8748
Sample Property 1126,45.487667,-73.591525,Montreal,Canada,1200,12,12758
Sample Property 1127,46.763424,-71.36997,Quebec,Canada,1200,12,12987
Sample Property 1128,45.500343,-73.631381,Montreal,Canada,1200,12,14023
Sample Property 1129,53.435114,-113.6061,Edmonton,Canada,1200,12,6547
Sample Property 1130,51.036132,-114.166317,Calgary,Canada,1200,12,12579
Sample Property 1131,43.67758,-79.719948,Brampton,Canada,1200,12,9615
Sample Property 1132,43.192393,-79.806585,Stoney Creek,Canada,1200,12,9223
Sample Property 1133,43.325318,-79.820889,Burlington,Canada,1200,12,12643
Sample Property 1134,50.932046,-113.963722,Calgary ,Canada,1200,12,12196
Sample Property 1135,43.262249,-79.905015,Hamilton,Canada,1200,12,7069
Sample Property 1136,43.654111,-79.377415,Toronto,Canada,1200,12,7154
Sample Property 1137,51.083981,-114.155116,Calgary,Canada,1200,12,11594
Sample Property 1138,43.688683,-79.412669,Toronto,Canada,1200,12,7104
Sample Property 1139,45.494459,-73.637587,Montreal,Canada,1200,12,6604
Sample Property 1140,51.023824,-114.112067,Calgary,Canada,1200,12,9844
Sample Property 1141,43.336255,-79.813075,Burlington,Canada,1200,12,8202
Sample Property 1142,45.272955,-66.061704,Saint John ,Canada,1200,12,9720
Sample Property 1143,45.504495,-73.381752,St Bruno,Canada,1200,12,11744
Sample Property 1144,53.452877,-113.487207,Edmonton,Canada,1200,12,7895
Sample Property 1145,53.54194,-113.494263,Edmonton,Canada,1200,12,8097
Sample Property 1146,43.650446,-79.371689,Toronto,Canada,1200,12,8496
Sample Property 1147,43.650714,-79.385859,Toronto,Canada,1200,12,11270
Sample Property 1148,49.881293,-97.199564,Winnipeg,Canada,1200,12,13265
Sample Property 1149,43.653226,-79.383184,Toronto,Canada,1200,12,6903
Sample Property 1150,43.919979,-80.094311,Orangeville,Canada,1200,12,5560
Sample Property 1151,53.559764,-113.56592,Edmonton,Canada,1200,12,11423
Sample Property 1152,53.542742,-113.487553,Edmonton,Canada,1200,12,13673
Sample Property 1153,43.20882,-79.890234,Hamilton,Canada,1200,12,5292
Sample Property 1154,43.649724,-79.391065,Toronto,Canada,1200,12,5877
Sample Property 1155,43.641757,-79.377601,Toronto,Canada,1200,12,12274
Sample Property 1156,45.488509,-73.472012,Greenfield Park,Canada,1200,12,8413
Sample Property 1157,45.38807,-73.962389,Ile Perot,Canada,1200,12,11502
Sample Property 1158,43.634318,-79.519132,Toronto,Canada,1200,12,14575
Sample Property 1159,45.943217,-66.671262,Fredericton,Canada,1200,12,8857
Sample Property 1160,43.886259,-78.913134,Whitby,Canada,1200,12,12714
Sample Property 1161,43.703598,-79.413656,Toronto,Canada,1200,12,14845
Sample Property 1162,43.575502,-79.829531,Halton Hills,Canada,1200,12,13720
Sample Property 1163,43.659071,-79.394214,Toronto,Canada,1200,12,5987
Sample Property 1164,51.150456,-114.213613,Calgary,Canada,1200,12,6580
Sample Property 1165,53.519554,-113.595183,Edmonton,Canada,1200,12,13848
Sample Property 1166,45.504149,-73.568238,Montreal,Canada,1200,12,10747
Sample Property 1167,43.861852,-79.712497,Bolton,Canada,1200,12,12320
Sample Property 1168,51.05531,-114.085744,Calgary,Canada,1200,12,6334
Sample Property 1169,45.391286,-75.755692,Ottawa,Canada,1200,12,6629
Sample Property 1170,45.535027,-73.79069,Laval,Canada,1200,12,7717
Sample Property 1171,45.726088,-73.61855,Mascouche,Canada,1200,12,13263
Sample Property 1172,43.708561,-79.390402,Toronto,Canada,1200,12,10581
Sample Property 1173,45.52797,-73.346407,St Bruno,Canada,1200,12,5241
Sample Property 1174,45.499625,-73.573197,Montreal,Canada,1200,12,7328
Sample Property 1175,45.590558,-73.539417,Montreal,Canada,1200,12,9775
Sample Property 1176,43.646525,-79.389907,Toronto,Canada,1200,12,11409
Sample Property 1177,43.560496,-79.70476,Mississauga,Canada,1200,12,14086
Sample Property 1178,43.632553,-79.554218,Toronto,Canada,1200,12,5106
Sample Property 1179,45.447262,-75.626632,Ottawa,Canada,1200,12,8375
Sample Property 1180,45.468294,-73.543091,Montreal,Canada,1200,12,9002
Sample Property 1181,43.678592,-79.544887,Toronto,Canada,1200,12,10270
Sample Property 1182,43.657466,-79.403396,Toronto,Canada,1200,12,5178
Sample Property 1183,49.833293,-119.616834,Westbank,Canada,1200,12,12310
Sample Property 1184,43.788886,-79.544865,Woodbridge,Canada,1200,12,12705
Sample Property 1185,45.51998,-73.554871,Montreal,Canada,1200,12,11046
Sample Property 1186,44.646415,-63.593177,Halifax,Canada,1200,12,12122
Sample Property 1187,51.048504,-114.067669,Calgary,Canada,1200,12,14577
Sample Property 1188,45.453131,-75.511206,Orleans,Canada,1200,12,6574
Sample Property 1189,45.482464,-73.630256,Montreal,Canada,1200,12,7645
Sample Property 1190,45.485955,-73.79857,Montreal,Canada,1200,12,12362
Sample Property 1191,51.049121,-114.069977,Calgary,Canada,1200,12,11233
Sample Property 1192,46.820423,-71.248875,Quebec,Canada,1200,12,9466
Sample Property 1193,45.347667,-75.806394,Ottawa,Canada,1200,12,13570
Sample Property 1194,45.50257,-73.572583,Montreal,Canada,1200,12,7017
Sample Property 1195,45.503752,-73.569278,Montreal,Canada,1200,12,13829
Sample Property 1196,45.519513,-73.609316,Outremont,Canada,1200,12,7016
Sample Property 1197,43.748033,-79.384221,Toronto,Canada,1200,12,12816
Sample Property 1198,43.856611,-79.333409,Markham,Canada,1200,12,8145
Sample Property 1199,43.817029,-79.119053,Pickering,Canada,1200,12,10111
Sample Property 1200,43.660895,-79.3849,Toronto,Canada,1200,12,8266
Sample Property 1201,45.532873,-73.574821,Montreal,Canada,1200,12,13295
Sample Property 1202,43.865789,-79.29142,Markham,Canada,1200,12,8975
Sample Property 1203,45.483836,-73.583006,Montreal,Canada,1200,12,9425
Sample Property 1204,53.54333,-113.489746,Edmonton,Canada,1200,12,12265
Sample Property 1205,43.532315,-80.233036,Guelph,Canada,1200,12,9050
Sample Property 1206,52.319247,-114.074772,Red Deer,Canada,3400,12,12324
Sample Property 1207,43.792263,-79.447323,Vaughan,Canada,3400,12,11224
Sample Property 1208,43.706088,-79.375151,Toronto,Canada,3400,12,14874
Sample Property 1209,51.048953,-114.0659,Calgary,Canada,3400,12,14319
Sample Property 1210,52.24314,-113.809822,Red Deer,Canada,3400,12,9746
Sample Property 1211,51.049504,-114.064321,Calgary,Canada,3400,12,7816
Sample Property 1212,43.581048,-79.712688,Mississauga,Canada,3400,12,11199
Sample Property 1213,51.046194,-114.071332,Calgary,Canada,3400,12,8061
Sample Property 1214,53.467852,-113.494813,Edmonton,Canada,3400,12,11058
Sample Property 1215,43.805349,-79.436868,Thornhill,Canada,3400,12,7336
Sample Property 1216,43.559467,-79.707906,Mississauga,Canada,3400,12,11749
Sample Property 1217,53.603461,-115.283845,Edmonton,Canada,3400,12,11105
Sample Property 1218,43.398929,-79.706807,Burlington,Canada,3400,12,13448
Sample Property 1219,43.780113,-79.41337,Toronto,Canada,3400,12,9498
Sample Property 1220,51.066393,-114.10741,Calgary,Canada,3400,12,9628
Sample Property 1221,51.018759,-114.169582,Calgary,Canada,3400,12,8704
Sample Property 1222,53.543258,-113.494267,Edmonton,Canada,3400,12,9460
Sample Property 1223,53.251404,-110.005495,Lloydminster,Canada,3400,12,8831
Sample Property 1224,45.513581,-73.69345,St Laurent,Canada,3400,12,9190
Sample Property 1225,43.642553,-79.377643,Toronto,Canada,3400,12,6603
Sample Property 1226,51.048328,-114.073448,Calgary,Canada,3400,12,14768
Sample Property 1227,43.612535,-79.693859,Mississauga,Canada,3400,12,14279
Sample Property 1228,43.66626,-79.399293,Toronto,Canada,3400,12,10619
Sample Property 1229,49.898449,-97.061881,Winnipeg,Canada,3400,12,12713
Sample Property 1230,43.650698,-79.527356,Toronto,Canada,3400,12,5602
Sample Property 1231,43.653929,-79.380213,Toronto,Canada,3400,12,14682
Sample Property 1232,49.827927,-97.109088,Winnipeg,Canada,3400,12,5225
Sample Property 1233,43.665488,-79.380856,Toronto,Canada,3400,12,14305
Sample Property 1234,43.744582,-79.405636,Toronto,Canada,3400,12,5237
Sample Property 1235,44.389356,-79.690332,Barrie,Canada,3400,12,10961
Sample Property 1236,45.495137,-73.408942,St-Hubert,Canada,3400,12,6616
Sample Property 1237,53.54074,-113.498317,Edmonton,Canada,3400,12,8244
Sample Property 1238,43.712363,-79.364308,Toronto,Canada,3400,12,13476
Sample Property 1239,51.048953,-114.0659,Calgary,Canada,3400,12,10217
Sample Property 1240,49.878981,-97.146123,Winnipeg,Canada,3400,12,10920
Sample Property 1241,43.64517,-79.522412,Toronto,Canada,3400,12,9921
Sample Property 1242,43.444101,-79.669944,Oakville,Canada,3400,12,11475
Sample Property 1243,53.54212,-113.611915,Edmonton,Canada,3400,12,10318
Sample Property 1244,53.521366,-113.578006,Edmonton,Canada,3400,12,13886
Sample Property 1245,43.756551,-79.360779,Toronto,Canada,3400,12,14711
Sample Property 1246,43.669742,-79.389422,Toronto,Canada,3400,12,13535
Sample Property 1247,44.389449,-79.687402,Barrie,Canada,3400,12,8207
Sample Property 1248,46.812837,-71.214921,Quebec,Canada,3400,12,7278
Sample Property 1249,50.96132,-114.103984,Calgary,Canada,3400,12,13664
Sample Property 1250,43.64401,-79.386971,Toronto,Canada,3400,12,7436
Sample Property 1251,51.037835,-114.126771,Calgary,Canada,3400,12,10651
Sample Property 1252,43.88284,-79.440281,Richmond Hill,Canada,3400,12,7036
Sample Property 1253,53.484718,-113.494969,Edmonton,Canada,3400,12,6784
Sample Property 1254,45.467002,-75.700535,Gatineau,Canada,3400,12,9936
Sample Property 1255,53.425172,-113.479224,Edmonton,Canada,3400,12,12668
Sample Property 1256,50.91556,-113.960202,Calgary,Canada,3400,12,14811
Sample Property 1257,53.45396,-113.565393,Edmonton,Canada,3400,12,8500
Sample Property 1258,43.843437,-79.081848,Pickering,Canada,3400,12,12323
Sample Property 1259,51.10127,-114.140417,Calgary,Canada,3400,12,12010
Sample Property 1260,53.457943,-113.58242,Edmonton,Canada,3400,12,6031
Sample Property 1261,51.178363,-115.570769,Banff,Canada,3400,12,9127
Sample Property 1262,45.495137,-73.408942,St-Hubert,Canada,3400,12,5466
Sample Property 1263,43.6631,-79.402004,Toronto ,Canada,3400,12,8646
Sample Property 1264,43.133638,-79.22431,St. Catharines,Canada,3400,12,9269
Sample Property 1265,43.75375,-79.357066,Toronto,Canada,3400,12,9149
Sample Property 1266,43.650246,-79.480905,Toronto,Canada,3400,12,5611
Sample Property 1267,53.540716,-113.442553,Edmonton,Canada,3400,12,13429
Sample Property 1268,55.144884,-118.811697,Grande Prairie,Canada,3400,12,9299
Sample Property 1269,43.082455,-79.0813,Niagara Falls,Canada,3400,12,12531
Sample Property 1270,51.200348,-113.996029,Rocky View,Canada,3400,12,14852
Sample Property 1271,43.66886,-79.386331,Toronto,Canada,3400,12,14252
Sample Property 1272,43.88284,-79.440281,Richmond Hill,Canada,3400,12,13931
Sample Property 1273,43.641944,-79.412316,Toronto,Canada,3400,12,14750
Sample Property 1274,43.55306,-79.583747,Mississauga,Canada,3400,12,14139
Sample Property 1275,53.277783,-113.548244,Leduc,Canada,3400,12,5008
